anio,residencia_muncipio_id ,residencia_muncipio_nombre,cantidad 
2017,06007,Adolfo Alsina,1
2017,06014,Adolfo Gonzales Chaves,1
2017,06021,Alberti,1
2017,06028,Almirante Brown,61
2017,06035,Avellaneda,40
2017,06042,Ayacucho,4
2017,06049,Azul,2
2017,06056,Bahía Blanca,18
2017,06063,Balcarce,4
2017,06070,Baradero,2
2017,06077,Arrecifes,4
2017,06084,Benito Juárez,2
2017,06091,Berazategui,38
2017,06098,Berisso,5
2017,06105,Bolívar,2
2017,06112,Bragado,6
2017,06119,Brandsen,3
2017,06126,Campana,8
2017,06134,Cañuelas,2
2017,06140,Capitán Sarmiento,0
2017,06147,Carlos Casares,1
2017,06154,Carlos Tejedor,1
2017,06161,Carmen de Areco,0
2017,06168,Castelli,0
2017,06175,Colón,2
2017,06182,Coronel de Marina Leonardo Rosales,5
2017,06189,Coronel Dorrego,0
2017,06196,Coronel Pringles,2
2017,06203,Coronel Suárez,2
2017,06210,Chacabuco,2
2017,06218,Chascomús,2
2017,06224,Chivilcoy,11
2017,06231,Daireaux,2
2017,06238,Dolores,3
2017,06245,Ensenada,5
2017,06252,Escobar,19
2017,06260,Esteban Echeverría,40
2017,06266,Exaltación de la Cruz,2
2017,06270,Ezeiza,27
2017,06274,Florencio Varela,65
2017,06277,Florentino Ameghino,0
2017,06280,General Alvarado,6
2017,06287,General Alvear,2
2017,06294,General Arenales,0
2017,06301,General Belgrano,2
2017,06308,General Guido,1
2017,06315,General Juan Madariaga,2
2017,06322,General La Madrid,0
2017,06329,General Las Heras,0
2017,06336,General Lavalle,0
2017,06343,General Paz,2
2017,06351,General Pinto,1
2017,06357,General Pueyrredón,51
2017,06364,General Rodríguez,5
2017,06371,General San Martín,38
2017,06385,General Viamonte,1
2017,06392,General Villegas,1
2017,06399,Guaminí,0
2017,06406,Hipólito Yrigoyen,0
2017,06408,Hurlingham,8
2017,06410,Ituzaingó,11
2017,06412,José C. Paz,43
2017,06413,Junín,8
2017,06420,La Costa,9
2017,06427,La Matanza,196
2017,06434,Lanús,55
2017,06441,La Plata,68
2017,06448,Laprida,1
2017,06455,Las Flores,0
2017,06462,Leandro N. Alem,0
2017,06466,Lezama,1
2017,06469,Lincoln,2
2017,06476,Lobería,0
2017,06483,Lobos,2
2017,06490,Lomas de Zamora,117
2017,06497,Luján,13
2017,06505,Magdalena,2
2017,06511,Maipú,0
2017,06515,Malvinas Argentinas,34
2017,06518,Mar Chiquita,0
2017,06525,Marcos Paz,8
